Semiconductors,gap
Cu2Ba1Sn0.25Zr0.75S4_stannite,1.45
Cu2Ba1Sn0.25Zr0.75Se4_kesterite,1.32
Cu2Ba1Sn0.25Zr0.75Se4_stannite,0.94
Cu2Ba1Sn0.5Zr0.5S2Se2_stannite,1.07
Cu2Ba1Sn0.5Zr0.5S4_kesterite,1.56
Cu2Ba1Sn0.5Zr0.5S4_stannite,1.31
Cu2Ba1Sn0.5Zr0.5Se4_kesterite,1.08
Cu2Ba1Sn0.5Zr0.5Se4_stannite,0.77
Cu2Ba1Sn0.75Zr0.25S2Se2_stannite,1.11
Cu2Ba1Sn0.75Zr0.25S4_stannite,1.37
Cu2Ba1Sn0.75Zr0.25Se4_kesterite,0.87
Cu2Ba1Sn0.75Zr0.25Se4_stannite,0.8
Cu2Ba1Sn1S1Se3_stannite,0.93
Cu2Ba1Sn1S2Se2_kesterite,1.08
Cu2Ba1Sn1S2Se2_stannite,1.05
Cu2Ba1Sn1S4_kesterite,1.37
Cu2Ba1Sn1S4_stannite,1.46
Cu2Ba1Sn1Se4_stannite,0.79
Cu2Ba1Sn1Te4_kesterite,0.28
Cu2Ba1Sn1Te4_stannite,0.25
Cu2Ba1Zr1S2Se2_kesterite,1.56
Cu2Ba1Zr1S2Se2_stannite,1.52
Cu2Ba1Zr1S4_kesterite,1.67
Cu2Ba1Zr1S4_stannite,1.68
Cu2Ba1Zr1Se4_kesterite,1.43
Cu2Ba1Zr1Se4_stannite,1.26
Cu2Ca1Ge1S4_kesterite,1.71
Cu2Ca1Ge1S4_stannite,1.95
Cu2Ca1Ge1Se4_kesterite,1.03
Cu2Ca1Ge1Se4_stannite,1.38
Cu2Ca1Ge1Te4_kesterite,0.61
Cu2Ca1Ge1Te4_stannite,1.25
Cu2Ca1Sn1S4_kesterite,1.7
Cu2Ca1Sn1S4_stannite,1.95
Cu2Ca1Sn1Se4_kesterite,1.04
Cu2Ca1Sn1Se4_stannite,1.37
Cu2Ca1Sn1Te4_kesterite,0.61
Cu2Ca1Sn1Te4_stannite,1.25
